15:38:20.791 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
15:38:23.120 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
15:38:23.147 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
15:38:23.148 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
15:39:40.924 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
15:39:41.048 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
15:39:43.183 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
15:39:43.207 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
15:39:43.208 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
15:47:20.207 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
15:47:20.344 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
15:47:22.425 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
15:47:22.450 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
15:47:22.451 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
15:49:48.506 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
15:49:48.683 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
15:49:50.749 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
15:49:50.774 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
15:49:50.775 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
16:23:00.930 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
16:23:01.401 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
16:23:03.810 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
16:23:03.834 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
16:23:03.835 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
16:24:13.547 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
16:24:13.667 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
16:24:15.906 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
16:24:15.931 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
16:24:15.932 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
16:27:05.223 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
16:27:05.396 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
16:27:07.668 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
16:27:07.695 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
16:27:07.696 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
16:29:36.896 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
16:29:37.364 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
16:29:40.033 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
16:29:40.060 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
16:29:40.087 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
16:34:43.174 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
16:34:43.850 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
16:34:46.351 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
16:34:46.376 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
16:34:46.376 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
16:36:20.119 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
16:36:20.241 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
16:36:22.396 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
16:36:22.431 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
16:36:22.432 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
11:37:13.340 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
11:37:13.761 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
11:37:18.679 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
11:37:18.840 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
11:37:18.840 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
12:36:38.031 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
12:36:38.502 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
12:36:41.733 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
12:36:41.787 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
12:36:41.788 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
13:03:13.281 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:03:13.419 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
